화장실명,소재지도로명주소,위도,경도
홍릉,서울특별시 동대문구 홍릉로 109-3,37.5804138,127.044996
서울약령시장,서울특별시 동대문구 약령중앙로 26,37.5820846,127.0372245
이문체육센터,서울특별시 동대문구 한천로58길 81-49,37.6025094,127.0691738
태양주유소,서울특별시 광진구 동일로 345,37.5620971,127.0751968
중곡현대가스,서울특별시 광진구 동일로 323,37.5600856,127.0737221
장수주유소,서울특별시 광진구 동일로 266,37.5620971,127.0751968
수현민물장어,서울특별시 광진구 능동로4길 33,37.5320251,127.0701166
광성시장,서울특별시 광진구 능동로47길 30,37.5633468,127.0813451
비전빌딩,서울특별시 광진구 능동로 275,37.5546196,127.0777041
원광빌딩,서울특별시 광진구 능동로 272,37.5405067,127.0708659
중곡제일시장,서울특별시 광진구 긴고랑로11길 11,37.5637982,127.0816464
심마니유황오리,서울특별시 광진구 긴고랑로 85,37.5608602,127.0852777
군자감자탕,서울특별시 광진구 군자로 183,37.557005,127.078257
테크노마트,서울특별시 광진구 광나루로56길 85,37.5349372,127.0957088
구의현대2단지종합상가,서울특별시 광진구 광나루로56길 66,37.5363017,127.0948441
프라임중앙상가,서울특별시 광진구 광나루로56길 29,37.5375434,127.0978571
광장현대3단지종합상가,서울특별시 광진구 광나루로 635,37.5450675,127.0844766
진넥스 베르디엠,서울특별시 광진구 광나루로 604,37.541637,127.0950954
대한빌딩,서울특별시 광진구 광나루로 602,37.5450675,127.0844766
대성 주유소,서울특별시 광진구 광나루로 570,37.5450675,127.0844766
창원주유소(구대명주유소),서울특별시 광진구 광나루로 460,37.5450675,127.0844766
동일빌딩,서울특별시 광진구 광나루로 442,37.5454261,127.0785927
리젠트오피스텔,서울특별시 광진구 강변역로4길 68,37.5353812,127.0940271
동서울터미널종합상가,서울특별시 광진구 강변역로 50,37.5346059,127.09424910218172
신성종합시장,서울특별시 광진구 영화사로 10,37.5563216,127.0912831
롯데백화점,서울특별시 광진구 능동로 90,37.5383892,127.07093316420863
구의3동주민센터 공중화장실,서울특별시 광진구 강변역로 17,37.5380399,127.0920061
광진광장주차장 공중화장실,서울특별시 광진구 광나루로 389,37.5450675,127.0844766
어린이회관입구 공중화장실,서울특별시 광진구 광나루로 441,37.54702905,127.07821554929546
푸른동산공원,서울특별시 광진구 광나루로44길 32,37.5414127,127.0909637
무궁화공원,서울특별시 광진구 광나루로52길 12,37.5397956,127.0923631
구의공원 공중화장실,서울특별시 광진구 광나루로56길 86,37.5363017,127.0948441
평강공원,서울특별시 광진구 광장로1가길 31,37.5475437,127.1012139
한아름공원 공중화장실,서울특별시 광진구 군자로3길 15,37.5449235,127.0695211
신설동역(1),서울특별시 동대문구 신설동 76-5,37.573478,127.0257068
제기동역(1),서울특별시 동대문구 제기동 65,37.58465,127.03678
청량리역(1),서울특별시 동대문구 전농동 620-69,37.5806,127.05543
